"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1101 - 台泥","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/20","113/05/21","     25,136,155,437","      7,997,813,524","     32,309,737,608","     24,425,831,208","1.00000000","0.0","0.0","      7,531,181,742","0.0","0.0","0.0","                  0","本公司每年決算所得純益，除依法提繳所得
稅，彌補累積虧損，次提撥百分之十為法定
盈餘公積，但法定盈餘公積已達本公司實收
資本總額時，得不再提撥，其餘加計累積未
分配盈餘，必要時得依相關法令規定提撥或
迴轉特別盈餘公積或酌予保留盈餘後，就其
餘額於依本章程第五條之一規定分派特別股
股息後，再予分派普通股股利，分派比率依
本條第二項之股利政策由董事會擬訂盈餘分
派案提請股東會決議。
本公司除從事資本密集、較為成熟穩定之水
泥及水泥製品產銷外，並積極朝向多角化經
營。為配合多元化發展投資需要或重大之資
本預算規劃，訂定現金股利支付比率為普通
股股利之百分之二十以上，餘額配發股票股
利。","",
"1101B - 台泥乙特","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/20","113/05/21","     25,136,155,437","      7,997,813,524","     32,309,737,608","     24,425,831,208","1.76362329","0.0","0.0","        352,724,658","0.0","0.0","0.0","                  0","1.本公司特別股之權利義務及其他重要發行
條件如下： 
(1)特別股股息以年率百分之八為上限，按每
股發行價格計算，股息每年以現金一次發放，
於每年股東常會承認財務報告及盈餘分派議案
後，由董事會訂定基準日支付前一年度得發放
之股息。發行年度及收回年度股息之發放，按
當年度實際發行日數計算，發行日定義為發行
本特別股之增資基準日。 
(2)本公司對特別股之股息分派具自主裁量權
，得經股東會決議不分派特別股股息。倘年度
決算無盈餘或經股東會決議不分派股息，其未
分派之股息不累積於以後有盈餘年度遞延償付
(3)特別股股東除領取本項第二款所述之股息
外，不得參與普通股關於盈餘及資本公積為現
金及撥充資本之分派。
2.本公司每年決算所得純益，除依法提繳所得
稅，彌補累積虧損，次提撥百分之十為法定盈
餘公積，但法定盈餘公積已達本公司實收資本
總額時，得不再提撥，其餘加計累積未分配盈
餘，必要時得依相關法令規定提撥或迴轉特別
盈餘公積或酌予保留盈餘後，就其餘額於依本
章程第五條之一規定分派特別股股息後，再予
分派普通股股利，分派比率依本條第二項之股
利政策由董事會擬訂盈餘分派案提請股東會決
議。","",
"1102 - 亞泥","董事會決議","113年 第3季","113/07/01~113/09/30","1","113/11/08","不適用","     19,104,387,592","                  0","     19,104,387,592","     19,104,387,592","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","無",
"1102 - 亞泥","董事會決議","113年 第2季","113/04/01~113/06/30","1","113/08/08","不適用","     19,104,387,592","                  0","     19,104,387,592","     19,104,387,592","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","無",
"1102 - 亞泥","董事會決議","113年 第1季","113/01/01~113/03/31","1","113/05/09","不適用","     21,243,238,025","                  0","     21,243,238,025","     21,243,238,025","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","無",
"1102 - 亞泥","董事會決議","112年 第4季","112/10/01~112/12/31","1","113/03/05","不適用","     17,447,526,660","     10,882,825,591","     26,552,169,642","     19,104,387,592","2.10000000","0.0","0.0","      7,447,782,050","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","1.如因除息基準日前依證交法第28條之2及
其他法令規定，而影響流通在外股數時，擬
由本次董事會授權董事長依本次盈餘分配案
決議之現金股利之金額，按除息基準日實際
流通在外股數，調整股東配息率。
2.擬由本次董事會授權董事長另訂定除息基準日分配之。",
"1103 - 嘉泥","股東會確認","112年 年度","112/01/01~112/12/31","1","113/04/12","113/05/24","      5,350,559,803","         81,081,672","      5,422,415,844","      5,028,009,615","0.50000000","0.0","0.0","        394,406,229","0.0","0.0","0.0","                  0","本公司每年決算如有當期稅後盈餘，
除依法彌補累積虧損、提列法定盈餘
公積外，另依法令規定提列或迴轉特
別盈餘公積，並連同當期未分配盈餘
調整數額，作為當期可供分派盈餘，
加計期初未分配盈餘後，由董事會依
據本條第四項及第五項之股利政策擬
定盈餘分派案，提請股東會決議。
本公司採剩餘股利政策，於考量未來
年度之資本支出預算及資金需求情形
，得保留相當之數額；保留後如有餘
額，再行分派股東紅利。
本公司股東紅利之分派，每年以現金
分派之數額，為當年度股東紅利分派
總額之百分之十以上，餘額配發股票
股利。","",
"1104 - 環泥","股東會確認","112年 年度","112/01/01~112/12/31","1","113/03/15","113/06/21","      5,991,299,393","      2,107,757,622","      7,888,965,639","      6,542,530,708","1.80000000","0.0","0.0","      1,211,791,441","0.20000000","0.0","0.0","         13,464,349","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提 10%為法定盈餘公積
，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴
轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提
請股東會決議分派股東股息紅利。
本公司所處傳統產業環境正值穩定期，高科技產業環境正值萌芽期，考量本公司未來資
金需求及長期財務規劃，股東紅利之分派原則全數採用現金股利發放，但遇有資金較大
需求之年度時，得採股票股利與現金股利二種方式配合發放，其中股票股利所占比率不
高於股東紅利總額百分之五十。
前項股利分派比率，得視公司年度獲利情形及資金需求，經股東會決議調整之","",
"1108 - 幸福","董事會決議","113年 上半年","113/01/01~113/06/30","1","113/11/12","不適用","        277,598,834","        254,736,796","        532,335,630","        532,335,630","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第29條「....本公司盈餘分派或虧損撥補得於每半會計年度或會計年度終了後為之。
本公司盈餘分派或虧損撥補之議案，應連同營業報告書及財務報表交審計委員會查核後，提董事會決議之。....」","無",
"1108 - 幸福","股東會確認","112年 下半年","112/07/01~112/12/31","1","113/03/15","113/06/18","        236,952,521","        527,139,537","        682,336,883","        277,598,834","1.00000000","0.0","0.0","        404,738,049","0.0","0.0","0.0","                  0","為考量本公司未來資金需求及長期財務規劃，並
滿足股東對現金流入之需求，本公司每年度決算
後如有當期淨利，除彌補虧損外，應先提撥百分
之十為法定盈餘公積及就當年度發生之帳列其他
股東權益減項淨額提列特別盈餘公積，其餘額連
同上一年度累積未分配盈餘及當年度未分配盈餘
調整數額合計數提撥百分之四十至八十，如以上
限百分之八十計算後每股分配之股利金額仍未滿
新台幣一角者，得予保留不分配，餘由董事會擬
定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由
董事會視當年度實際獲利及資金狀況，並考量投
資資金需求及對每股盈餘之稀釋程度，適度採現
金股利或股票股利方式發放。但配發股票股利以
不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計
算外，如有當年度轉入之保留盈餘或當年度稅後
盈餘不足提列之其他股東權益減項金額，仍應依
法令之規定自轉入之保留盈餘或上一年度累積未
分配盈餘提列或補列特別盈餘公積後，始得分派
盈餘。","",
